Id,AVERAGE of TotalSteps,,sleepDay_merged.Id,sleepDay_merged.ActivityDate,AVERAGE of sleepDay_merged.TotalMinutesAsleep
,,,,25/4/2017,302
,,,4319703577 Total,,476.6538462
,,,4388161847,26/4/2017,499
,,,,27/4/2017,426
,,,,28/4/2017,619
,,,,29/4/2017,99
,,,,30/4/2017,329
,,,,1/5/2017,421
,,,,2/5/2017,442
,,,,3/5/2017,82
,,,,4/5/2017,478
,,,,5/5/2017,552
,,,,6/5/2017,319
,,,,7/5/2017,439
,,,,8/5/2017,428
,,,,9/5/2017,409
,,,,10/5/2017,547
,,,,11/5/2017,368
,,,,12/5/2017,390
,,,,13/5/2017,471
,,,,14/5/2017,471
,,,,15/5/2017,472
,,,,16/5/2017,529
,,,,17/5/2017,62
,,,,18/5/2017,354
,,,,19/5/2017,469
,,,4388161847 Total,,403.125
,,,4445114986,20/5/2017,429
,,,,21/5/2017,370
,,,,22/5/2017,441
,,,,23/5/2017,337
,,,,24/5/2017,462
,,,,25/5/2017,98
,,,,26/5/2017,388
,,,,27/5/2017,439
,,,,28/5/2017,436
,,,,29/5/2017,388
,,,,30/5/2017,328
,,,,31/5/2017,353
,,,,1/6/2017,332
,,,,2/6/2017,419
,,,,3/6/2017,106
,,,,4/6/2017,322
,,,,5/6/2017,439
,,,,6/6/2017,502
,,,,7/6/2017,417
,,,,8/6/2017,337
,,,,9/6/2017,462
,,,,10/6/2017,374
,,,,11/6/2017,401
,,,,12/6/2017,361
,,,,13/6/2017,457
,,,,14/6/2017,405
,,,,15/6/2017,499
,,,,16/6/2017,483
,,,4445114986 Total,,385.1785714
,,,4558609924,17/6/2017,126
,,,,18/6/2017,103
,,,,19/6/2017,171
,,,,20/6/2017,115
,,,,21/6/2017,123
,,,4558609924 Total,,127.6
,,,4702921684,22/6/2017,425
,,,,23/6/2017,400
,,,,24/6/2017,384
,,,,25/6/2017,253
,,,,26/6/2017,382
,,,,27/6/2017,591
,,,,28/6/2017,293
,,,,29/6/2017,457
,,,,30/6/2017,454
,,,,1/7/2017,425
,,,,2/7/2017,465
,,,,3/7/2017,480
,,,,4/7/2017,370
,,,,5/7/2017,421
,,,,6/7/2017,432
,,,,7/7/2017,442
,,,,8/7/2017,433
,,,,9/7/2017,479
,,,,10/7/2017,327
,,,,11/7/2017,412
,,,,12/7/2017,414
,,,,13/7/2017,404
,,,,14/7/2017,520
,,,,15/7/2017,520
,,,,16/7/2017,435
,,,,17/7/2017,416
,,,,18/7/2017,354
,,,,19/7/2017,404
,,,4702921684 Total,,421.1428571
,,,5553957443,20/7/2017,441
,,,,21/7/2017,455
,,,,22/7/2017,357
,,,,23/7/2017,377
,,,,24/7/2017,651
,,,,25/7/2017,350
,,,,26/7/2017,520
,,,,27/7/2017,357
,,,,28/7/2017,658
,,,,29/7/2017,399
,,,,30/7/2017,322
,,,,31/7/2017,631
,,,,1/8/2017,553
,,,,2/8/2017,433
,,,,3/8/2017,412
,,,,4/8/2017,347
,,,,5/8/2017,421
,,,,6/8/2017,450
,,,,7/8/2017,775
,,,,8/8/2017,622
,,,,9/8/2017,409
,,,,10/8/2017,380
,,,,11/8/2017,447
,,,,12/8/2017,419
,,,,13/8/2017,400
,,,,14/8/2017,442
,,,,15/8/2017,568
,,,,16/8/2017,453
,,,,17/8/2017,418
,,,,18/8/2017,463
,,,,19/8/2017,438
,,,5553957443 Total,,463.483871
,,,5577150313,20/8/2017,419
,,,,21/8/2017,432
,,,,22/8/2017,477
,,,,23/8/2017,392
,,,,24/8/2017,406
,,,,25/8/2017,549
,,,,26/8/2017,527
,,,,27/8/2017,449
,,,,28/8/2017,447
,,,,29/8/2017,414
,,,,30/8/2017,338
,,,,31/8/2017,384
,,,,1/9/2017,543
,,,,2/9/2017,421
,,,,3/9/2017,354
,,,,4/9/2017,424
,,,,5/9/2017,361
,,,,6/9/2017,459
,,,,7/9/2017,412
,,,,8/9/2017,379
,,,,9/9/2017,525
,,,,10/9/2017,508
,,,,11/9/2017,603
,,,,12/9/2017,74
,,,,13/9/2017,504
,,,,14/9/2017,431
,,,5577150313 Total,,432
,,,6117666160,15/9/2017,380
,,,,16/9/2017,336
,,,,17/9/2017,493
,,,,18/9/2017,465
,,,,19/9/2017,474
,,,,20/9/2017,508
,,,,21/9/2017,480
,,,,22/9/2017,492
,,,,23/9/2017,353
,,,,24/9/2017,542
,,,,25/9/2017,393
,,,,26/9/2017,600
,,,,27/9/2017,507
,,,,28/9/2017,392
,,,,29/9/2017,658
,,,,30/9/2017,498
,,,,1/10/2017,555
,,,,2/10/2017,492
,,,6117666160 Total,,478.7777778
,,,6775888955,3/10/2017,235
,,,,4/10/2017,423
,,,,5/10/2017,391
,,,6775888955 Total,,349.6666667
,,,6962181067,6/10/2017,366
,,,,7/10/2017,630
,,,,8/10/2017,508
,,,,9/10/2017,370
,,,,10/10/2017,357
,,,,11/10/2017,427
,,,,12/10/2017,442
,,,,13/10/2017,476
,,,,14/10/2017,418
,,,,15/10/2017,451
,,,,16/10/2017,425
,,,,17/10/2017,528
,,,,18/10/2017,511
,,,,19/10/2017,400
,,,,20/10/2017,441
,,,,21/10/2017,455
,,,,22/10/2017,440
,,,,23/10/2017,433
,,,,24/10/2017,422
,,,,25/10/2017,411
,,,,26/10/2017,466
,,,,27/10/2017,394
,,,,28/10/2017,442
,,,,29/10/2017,467
,,,,30/10/2017,443
,,,,31/10/2017,298
,,,,1/11/2017,541
,,,,2/11/2017,489
,,,,3/11/2017,469
,,,,4/11/2017,452
,,,,5/11/2017,516
,,,6962181067 Total,,448
,,,7007744171,6/11/2017,79
,,,,7/11/2017,58
,,,7007744171 Total,,68.5
,,,7086361926,8/11/2017,514
,,,,9/11/2017,451
,,,,10/11/2017,472
,,,,11/11/2017,377
,,,,12/11/2017,472
,,,,13/11/2017,492
,,,,14/11/2017,390
,,,,15/11/2017,428
,,,,16/11/2017,681
,,,,17/11/2017,446
,,,,18/11/2017,485
,,,,19/11/2017,469
,,,,20/11/2017,354
,,,,21/11/2017,485
,,,,22/11/2017,388
,,,,23/11/2017,440
,,,,24/11/2017,456
,,,,25/11/2017,420
,,,,26/11/2017,322
,,,,27/11/2017,530
,,,,28/11/2017,481
,,,,29/11/2017,427
,,,,30/11/2017,451
,,,,1/12/2017,444
,,,7086361926 Total,,453.125
,,,8053475328,2/12/2017,486
,,,,3/12/2017,331
,,,,4/12/2017,74
,,,8053475328 Total,,297
,,,8378563200,5/12/2017,338
,,,,6/12/2017,447
,,,,7/12/2017,424
,,,,8/12/2017,513
,,,,9/12/2017,611
,,,,10/12/2017,525
,,,,11/12/2017,398
,,,,12/12/2017,387
,,,,13/12/2017,381
,,,,14/12/2017,396
,,,,15/12/2017,441
,,,,16/12/2017,565
,,,,17/12/2017,458
,,,,18/12/2017,388
,,,,19/12/2017,388
,,,,20/12/2017,550
,,,,21/12/2017,531
,,,,22/12/2017,506
,,,,23/12/2017,527
,,,,24/12/2017,468
,,,,25/12/2017,475
,,,,26/12/2017,351
,,,,27/12/2017,405
,,,,28/12/2017,441
,,,,29/12/2017,381
,,,,30/12/2017,323
,,,,31/12/2017,459
,,,,1/1/2018,545
,,,,2/1/2018,359
,,,,3/1/2018,342
,,,,4/1/2018,368
,,,,5/1/2018,496
,,,8378563200 Total,,443.34375
,,,8792009665,6/1/2018,458
,,,,7/1/2018,531
,,,,8/1/2018,486
,,,,9/1/2018,363
,,,,10/1/2018,528
,,,,11/1/2018,391
,,,,12/1/2018,339
,,,,13/1/2018,423
,,,,14/1/2018,402
,,,,15/1/2018,398
,,,,16/1/2018,343
,,,,17/1/2018,503
,,,,18/1/2018,415
,,,,19/1/2018,516
,,,,20/1/2018,439
,,,8792009665 Total,,435.6666667
,,,Grand Total,,433.9030839
